exp_id,owner,phase,parent_exp,goal,split,input_template,model,lora_target_modules,lora_r,lora_alpha,lora_dropout,trainable_params,quant,seq_len,img_size,batch_size,grad_accum,epochs,lr,scheduler,warmup_ratio,max_train,max_val,use_lecture,use_hint,lecture_chars,hint_chars,scoring,hybrid_w,do_train,do_val_eval,do_test_inference,runtime_min,status,val_metric,val_n,public_score,artifacts,notes
E11,you,submission,E07,First submission from tuned run,train+test infer,manual template,HuggingFaceTB/SmolVLM-500M-Instruct,q/k/v/o,8,16,0.05,2080768,4bit-nf4,NA,192,1,16,1,1e-4,cosine,0.1,NA,NA,False,False,0,0,letter-next-token,NA,True,False,True,331.1,success,NA,NA,0.47283,results.zip,Submission bug (mid-header row)
E12,you,ablation,E07,Answer-token-loss variant,train1024+val400,answer-token mask,HuggingFaceTB/SmolVLM-500M-Instruct,q/k/v/o,8,16,0.05,2080768,4bit-nf4,NA,192,1,16,1,1e-4,cosine,0.1,1024,400,False,False,0,0,letter-next-token,NA,True,True,False,109.5,success,0.5075,400,NA,results.zip,Improved val metric
E13,you,submission,E12,Submission from answer-token-loss,train+test infer,answer-token mask,HuggingFaceTB/SmolVLM-500M-Instruct,q/k/v/o,8,16,0.05,2080768,4bit-nf4,NA,192,1,16,1,1e-4,cosine,0.1,NA,NA,False,False,0,0,letter-next-token,NA,True,False,True,330.8,success,NA,NA,0.63983,results.zip,Better than baseline variant
E14,you,ablation,E13,Full context under 10h target,train+val400,full context prompt,HuggingFaceTB/SmolVLM-500M-Instruct,q/k/v/o,8,16,0.05,2080768,4bit-nf4,NA,192,1,16,1,1e-4,cosine,0.1,NA,400,True,True,0,0,letter-next-token,NA,True,True,False,344.4,success,0.6500,400,NA,results.zip,Runtime near long limit
E15,you,ablation,E14,Metadata/system prompt strategy,train+val400,metadata-enhanced prompt,HuggingFaceTB/SmolVLM-500M-Instruct,q/k/v/o,8,16,0.05,2080768,4bit-nf4,NA,192,1,16,1,1e-4,cosine,0.1,NA,400,True,True,0,0,letter-next-token,NA,True,True,False,347.2,success,0.5625,400,NA,results.zip,Prompt strategy regressed
E16,you,ablation,E14,High-capacity LoRA near cap,train+val300,full context,HuggingFaceTB/SmolVLM-500M-Instruct,q/k/v/o+gate/up/down,NA,NA,0.05,4980000,4bit-nf4,NA,192,1,16,1,1e-4,cosine,0.1,NA,300,True,True,0,0,letter-next-token,NA,True,True,False,357.4,success,0.6600,300,NA,results.zip,Adjusted after >5M assertion failure
E17,you,submission,E16,High-capacity with val400 and submit,train+val400+test infer,full context,HuggingFaceTB/SmolVLM-500M-Instruct,q/k/v/o+gate/up/down,NA,NA,0.05,4980000,4bit-nf4,NA,192,1,16,1,1e-4,cosine,0.1,NA,400,True,True,0,0,letter-next-token,NA,True,True,True,363.4,success,0.6700,400,0.69014,results.zip,Best pre-left-inspired main run
E18,you,inference,E17,Choice-likelihood inference eval,val/test only,choice-likelihood infer,HuggingFaceTB/SmolVLM-500M-Instruct,q/k/v/o+gate/up/down,NA,NA,0.05,4980000,4bit-nf4,NA,192,1,16,0,1e-4,NA,NA,NA,400,True,True,0,0,letter-next-token,NA,False,True,True,NA,stopped,NA,NA,NA,README,Skipped due weak early signal
E19,you,ablation,E17,Aggressive 2-epoch final push,train+val+test infer,hybrid scoring prompt,HuggingFaceTB/SmolVLM-500M-Instruct,q/k/v/o+gate/up/down,NA,NA,0.05,4980000,4bit-nf4,NA,192,1,16,2,8e-5,cosine,0.1,NA,400,True,True,0,0,hybrid,0.85,True,True,True,706.0,timeout,NA,NA,NA,results.zip,Timed out during val sweep
E20,you,submission,E19,Timeout-safe near5M inference submit,test infer only,hybrid scoring,HuggingFaceTB/SmolVLM-500M-Instruct,q/k/v/o+gate/up/down,NA,NA,0.05,4980000,4bit-nf4,NA,192,1,16,0,8e-5,NA,NA,NA,100,True,True,0,0,hybrid,0.8,False,False,True,NA,success,NA,NA,0.69818,results.zip,Reliable submit under constraints
E21,you,submission,E20,Train+val merged final submit,train+test infer,trainplusval setup,HuggingFaceTB/SmolVLM-500M-Instruct,q/k/v/o+gate/up/down,NA,NA,0.05,4980000,4bit-nf4,NA,160,1,16,1,1e-4,cosine,0.1,NA,100,True,True,0,0,letter,0.8,True,False,True,720.0,timeout,NA,NA,NA,results.zip,Exceeded 12h cap
E22,you,submission,E20,Timeout-safe no-train submit,test infer only,letter scoring fast,HuggingFaceTB/SmolVLM-500M-Instruct,q/k/v/o+gate/up/down,NA,NA,0.05,4980000,4bit-nf4,NA,192,1,16,0,8e-5,NA,NA,NA,100,True,True,0,0,letter,0.0,False,False,True,NA,success,NA,NA,NA,README,Control submit recipe
E23,you,submission,E20,Left-inspired trainval submit,train+test infer,left-inspired prompt,HuggingFaceTB/SmolVLM-500M-Instruct,q/k/v/o+gate/up/down,NA,NA,0.05,4980000,4bit-nf4,NA,160,1,16,1,1e-4,cosine,0.1,NA,100,True,True,0,0,letter,0.8,True,False,True,475.6,success,NA,NA,0.70623,results.zip,Best main-branch score
E24,you,continuation,E23,Short continuation from E23,continued train+test infer,left-inspired prompt,HuggingFaceTB/SmolVLM-500M-Instruct,q/k/v/o+gate/up/down,NA,NA,0.05,4980000,4bit-nf4,NA,160,1,16,0.35,5e-5,cosine,0.1,NA,100,True,True,0,0,letter,0.8,True,False,True,169.9,success,NA,NA,0.59758,results.zip,Continuation hurt generalization
E25,you,submission,E23,Final more-input less-modules run,train+test infer,more lecture/hint,HuggingFaceTB/SmolVLM-500M-Instruct,q/v/o,8,16,0.05,3250000,4bit-nf4,NA,192,1,16,1,8e-5,cosine,0.1,NA,100,True,True,800,400,hybrid,0.75,True,False,True,431.4,success,NA,NA,0.65593,results.zip,Simpler targets reduced score
L02,left,ablation,NA,First scored run,left split,manual chatml,HuggingFaceTB/SmolVLM-500M-Instruct,q/k/v/o,16,32,0.05,NA,4bit-nf4,NA,224,2,8,3,2e-4,cosine,0.1,NA,NA,NA,NA,NA,NA,letter-loglikelihood,NA,True,NA,True,NA,success,NA,NA,0.61971,left/results.txt,Overfit early baseline
L03,left,ablation,L02,Lower LR + expand to MLP,left split,manual chatml,HuggingFaceTB/SmolVLM-500M-Instruct,q/k/v/o+gate/up/down,8,16,0.05,NA,4bit-nf4,NA,224,2,8,2,1e-4,cosine,0.1,NA,NA,NA,NA,NA,NA,letter-loglikelihood,NA,True,NA,True,NA,success,NA,NA,0.74446,left/REPORT.md,Large gain
L04,left,ablation,L03,Train with solution text,left split,manual chatml,HuggingFaceTB/SmolVLM-500M-Instruct,q/k/v/o+gate/up/down,8,16,0.05,NA,4bit-nf4,NA,224,2,8,2,1e-4,cosine,0.1,NA,NA,NA,NA,NA,NA,letter-loglikelihood,NA,True,NA,True,NA,success,NA,NA,0.64989,left/REPORT.md,CoT leakage hurt
L05,left,ablation,L04,Revert CoT + add system prompt,left split,manual chatml,HuggingFaceTB/SmolVLM-500M-Instruct,q/k/v/o+gate/up/down,8,16,0.05,NA,4bit-nf4,NA,224,2,8,2,1e-4,cosine,0.1,NA,NA,NA,NA,NA,NA,letter-loglikelihood,NA,True,NA,True,NA,success,NA,NA,0.75653,left/REPORT.md,Recovered and improved
L06,left,ablation,L05,Increase image resolution 384,left split,manual chatml,HuggingFaceTB/SmolVLM-500M-Instruct,q/k/v/o+gate/up/down,8,16,0.05,NA,4bit-nf4,NA,384,2,8,3,1e-4,cosine,0.1,NA,NA,NA,NA,NA,NA,letter-loglikelihood,NA,True,NA,True,NA,success,NA,NA,0.78470,left/REPORT.md,Image detail helped
L07,left,ablation,L06,Add out_proj target,left split,manual chatml,HuggingFaceTB/SmolVLM-500M-Instruct,q/k/v/o+gate/up/down+out_proj,8,16,0.05,4930000,4bit-nf4,NA,384,2,8,3,1e-4,cosine,0.1,NA,NA,NA,NA,NA,NA,letter-loglikelihood,NA,True,NA,True,NA,success,NA,NA,0.76659,left/REPORT.md,Connector disturbance regression
L08,left,submission,L06,Chat template + image splitting + TTA,left split,apply_chat_template,HuggingFaceTB/SmolVLM-500M-Instruct,q/k/v/o+gate/up/down,8,16,0.05,NA,4bit-nf4,NA,384,1,16,3,1e-4,cosine,0.1,NA,NA,NA,NA,NA,NA,letter-loglikelihood+TTA,NA,True,NA,True,NA,success,NA,NA,0.81488,left/results.txt,TTA improved over no-TTA 0.80885
L09,left,submission,L08,Prompt engineering variant,left split,apply_chat_template,HuggingFaceTB/SmolVLM-500M-Instruct,q/k/v/o+gate/up/down,8,16,0.05,NA,4bit-nf4,NA,384,1,16,3,1e-4,cosine,0.1,NA,NA,NA,NA,NA,NA,letter-loglikelihood+TTA,NA,True,NA,True,NA,success,NA,NA,0.80482,left/results.txt,Slight regression from L08
L10,left,submission,L08,Processor longest-edge 1024 + TTA,left split,apply_chat_template,HuggingFaceTB/SmolVLM-500M-Instruct,q/k/v/o+gate/up/down,8,16,0.05,NA,4bit-nf4,NA,1024,1,16,3,1e-4,cosine,0.1,NA,NA,NA,NA,NA,NA,letter-loglikelihood+TTA,NA,True,NA,True,NA,success,NA,NA,0.84507,left/results.txt,Best known run
